T(seg),Qe(m3/s)
0,0.000
600,0.250
1200,0.500
1800,0.750
2400,1.000
3000,1.250
3600,1.500
4200,1.508
4800,1.517
5400,1.525
6000,1.533
6600,1.542
7200,1.550
7800,1.558
8400,1.567
9000,1.575
9600,1.583
10200,1.592
10800,1.600
11400,1.600
12000,1.600
12600,1.600
13200,1.600
13800,1.600
14400,1.600
15000,1.600
15600,1.600
16200,1.600
16800,1.600
17400,1.600
18000,1.600
18600,1.608
19200,1.617
19800,1.625
20400,1.633
21000,1.642
21600,1.650
22200,1.658
22800,1.667
23400,1.675
24000,1.683
24600,1.692
25200,1.700
25800,1.700
26400,1.700
27000,1.700
27600,1.700
28200,1.700
28800,1.700
29400,1.700
30000,1.700
30600,1.700
31200,1.700
31800,1.700
32400,1.700
33000,1.708
33600,1.717
34200,1.725
34800,1.733
35400,1.742
36000,1.750
36600,1.758
37200,1.767
37800,1.775
38400,1.783
39000,1.792
39600,1.800
40200,1.800
40800,1.800
41400,1.800
42000,1.800
42600,1.800
43200,1.800
43800,1.800
44400,1.800
45000,1.800
45600,1.800
46200,1.800
46800,1.800
47400,1.800
48000,1.800
48600,1.800
49200,1.800
49800,1.800
50400,1.800
51000,1.800
51600,1.800
52200,1.800
52800,1.800
53400,1.800
54000,1.800
54600,1.808
55200,1.817
55800,1.825
56400,1.833
57000,1.842
57600,1.850
58200,1.858
58800,1.867
59400,1.875
60000,1.883
60600,1.892
61200,1.900
61800,1.900
62400,1.900
63000,1.900
63600,1.900
64200,1.900
64800,1.900
65400,1.900
66000,1.900
66600,1.900
67200,1.900
67800,1.900
68400,1.900
69000,1.900
69600,1.900
70200,1.900
70800,1.900
71400,1.900
72000,1.900
72600,1.900
73200,1.900
73800,1.900
74400,1.900
75600,1.900
76200,1.900
76800,1.900
77400,1.900
78000,1.900
78600,1.900
79200,1.900
79800,1.900
80400,1.900
81000,1.900
81600,1.900
82200,1.900
82800,1.900
83400,1.908
84000,1.917
84600,1.925
85200,1.933
85800,1.942
86400,1.950
