T(seg),Q(m3/s)
0.000,0.000
600.000,0.300
1200.000,0.500
1800.000,0.800
2400.000,1.000
3000.000,1.300
3600.000,1.500
4200.000,1.500
4800.000,1.500
5400.000,1.500
6000.000,1.500
6600.000,1.500
7200.000,1.600
7800.000,1.600
8400.000,1.600
9000.000,1.600
9600.000,1.600
10200.000,1.600
10800.000,1.600
11400.000,1.600
12000.000,1.600
12600.000,1.600
13200.000,1.600
13800.000,1.600
14400.000,1.700
15000.000,1.700
15600.000,1.700
16200.000,1.700
16800.000,1.700
17400.000,1.700
18000.000,1.700
18600.000,1.700
19200.000,1.700
19800.000,1.700
20400.000,1.700
21000.000,1.700
21600.000,1.800
22200.000,1.800
22800.000,1.800
23400.000,1.800
24000.000,1.800
24600.000,1.800
25200.000,1.800
25800.000,1.800
26400.000,1.800
27000.000,1.800
27600.000,1.800
28200.000,1.800
28800.000,1.900
29400.000,1.900
30000.000,1.900
30600.000,1.900
31200.000,1.900
31800.000,1.900
32400.000,1.900
33000.000,1.900
33600.000,1.900
34200.000,1.900
34800.000,1.900
35400.000,1.900
36000.000,2.000
36600.000,2.000
37200.000,2.000
37800.000,2.000
38400.000,2.000
39000.000,2.000
39600.000,2.000
40200.000,2.000
40800.000,2.000
41400.000,2.000
42000.000,2.000
42600.000,2.000
43200.000,2.100
43800.000,2.100
44400.000,2.100
45000.000,2.100
45600.000,2.100
46200.000,2.100
46800.000,2.100
47400.000,2.100
48000.000,2.100
48600.000,2.200
49200.000,2.200
49800.000,2.200
50400.000,2.200
51000.000,2.200
51600.000,2.200
52200.000,2.300
52800.000,2.300
53400.000,2.300
54000.000,2.300
54600.000,2.300
55200.000,2.400
55800.000,2.400
56400.000,2.400
57000.000,2.500
57600.000,2.500
58200.000,2.500
58800.000,2.600
59400.000,2.600
60000.000,2.600
60600.000,2.700
61200.000,2.700
61800.000,2.700
62400.000,2.800
63000.000,2.800
63600.000,2.800
64200.000,2.800
64800.000,2.900
65400.000,2.900
66000.000,2.900
66600.000,2.900
67200.000,3.000
67800.000,3.000
68400.000,3.000
69000.000,3.000
69600.000,3.100
70200.000,3.100
70800.000,3.200
71400.000,3.200
72000.000,3.300
72600.000,3.300
73200.000,3.300
73800.000,3.400
74400.000,3.400
75600.000,3.500
76200.000,3.500
76800.000,3.600
77400.000,3.600
78000.000,3.700
78600.000,3.700
79200.000,3.800
79800.000,3.800
80400.000,3.800
81000.000,3.900
81600.000,3.900
82200.000,4.000
82800.000,4.000
83400.000,4.100
84000.000,4.100
84600.000,4.200
85200.000,4.200
85800.000,4.300
86400.000,4.300
87000.000,4.400
87600.000,4.400
88200.000,4.500
88800.000,4.500
89400.000,4.600
90000.000,4.600
90600.000,4.700
91200.000,4.800
91800.000,4.800
92400.000,4.900
93000.000,5.000
93600.000,5.100
94200.000,5.100
94800.000,5.200
95400.000,5.300
96000.000,5.400
96600.000,5.400
97200.000,5.500
97800.000,5.700
98400.000,6.000
99000.000,6.200
99600.000,6.400
100200.000,6.600
100800.000,6.900
101400.000,7.100
102000.000,7.300
102600.000,7.500
103200.000,7.800
103800.000,8.000
104400.000,8.200
105000.000,8.500
105600.000,8.800
106200.000,9.200
106800.000,9.500
107400.000,9.800
108000.000,10.100
108600.000,10.400
109200.000,10.700
109800.000,11.100
110400.000,11.400
111000.000,11.700
111600.000,12.000
112200.000,12.600
112800.000,13.200
113400.000,13.800
114000.000,14.300
114600.000,14.900
115200.000,15.500
115800.000,16.100
116400.000,16.700
117000.000,17.300
117600.000,17.800
118200.000,18.400
118800.000,19.000
119400.000,21.300
120000.000,23.700
120600.000,26.000
121200.000,28.300
121800.000,30.700
122400.000,33.000
123000.000,35.300
123600.000,37.700
124200.000,40.000
124800.000,42.300
125400.000,44.700
126000.000,47.000
126600.000,50.600
127200.000,54.200
127800.000,57.800
128400.000,61.300
129000.000,64.900
129600.000,68.500
130200.000,72.100
130800.000,75.700
131400.000,79.300
132000.000,82.800
132600.000,86.400
133200.000,90.000
133800.000,97.300
134400.000,104.700
135000.000,112.000
135600.000,119.400
136200.000,126.700
136800.000,134.100
137400.000,141.400
138000.000,148.700
138600.000,156.100
139200.000,163.400
139800.000,170.800
140400.000,178.100
141000.000,201.000
141600.000,223.800
142200.000,246.700
142800.000,269.600
143400.000,292.400
144000.000,315.300
144600.000,338.200
145200.000,361.000
145800.000,383.900
146400.000,406.800
147000.000,429.600
147600.000,452.500
148200.000,462.900
148800.000,473.300
149400.000,483.800
150000.000,494.200
150600.000,504.600
151200.000,515.000
151800.000,525.400
152400.000,535.800
153000.000,546.300
153600.000,556.700
154200.000,567.100
154800.000,577.500
155400.000,583.200
156000.000,588.900
156600.000,594.700
157200.000,600.400
157800.000,606.100
158400.000,611.800
159000.000,617.500
159600.000,623.200
160200.000,629.000
160800.000,634.700
161400.000,640.400
162000.000,646.100
162600.000,648.300
163200.000,650.500
163800.000,652.600
164400.000,654.800
165000.000,657.000
165600.000,659.200
166200.000,661.300
166800.000,663.500
167400.000,665.700
168000.000,667.900
168600.000,670.000
169200.000,672.200
169800.000,673.500
170400.000,674.900
171000.000,676.200
171600.000,677.500
172200.000,678.800
172800.000,680.200
173400.000,681.500
174000.000,682.800
174600.000,684.100
175200.000,685.500
175800.000,686.800
176400.000,688.100
177000.000,688.700
177600.000,689.300
178200.000,689.900
178800.000,690.500
179400.000,691.100
180000.000,691.700
180600.000,692.300
181200.000,692.900
181800.000,693.500
182400.000,694.100
183000.000,694.700
183600.000,695.300
184200.000,694.900
184800.000,694.400
185400.000,694.000
186000.000,693.500
186600.000,693.100
187200.000,692.600
187800.000,692.200
188400.000,691.700
189000.000,691.300
189600.000,690.800
190200.000,690.400
190800.000,689.900
191400.000,689.000
192000.000,688.000
192600.000,687.100
193200.000,686.100
193800.000,685.200
194400.000,684.300
195000.000,683.300
195600.000,682.400
196200.000,681.400
196800.000,680.500
197400.000,679.500
198000.000,678.600
198600.000,677.300
199200.000,676.000
199800.000,674.600
200400.000,673.300
201000.000,672.000
201600.000,670.700
202200.000,669.300
202800.000,668.000
203400.000,666.700
204000.000,665.400
204600.000,664.000
205200.000,662.700
205800.000,661.100
206400.000,659.500
207000.000,657.800
207600.000,656.200
208200.000,654.600
208800.000,653.000
209400.000,651.300
210000.000,649.700
210600.000,648.100
211200.000,646.500
211800.000,644.800
212400.000,643.200
213000.000,641.400
213600.000,639.500
214200.000,637.700
214800.000,635.800
215400.000,634.000
216000.000,632.200
216600.000,630.300
217200.000,628.500
217800.000,626.600
218400.000,624.800
219000.000,622.900
219600.000,621.100
220200.000,619.100
220800.000,617.200
221400.000,615.200
222000.000,613.200
222600.000,611.300
223200.000,609.300
223800.000,607.300
224400.000,605.400
225000.000,603.400
225600.000,601.400
226200.000,599.500
226800.000,597.500
227400.000,595.800
228000.000,594.000
228600.000,592.300
229200.000,590.600
229800.000,588.800
230400.000,587.100
231000.000,585.400
231600.000,583.600
232200.000,581.900
232800.000,580.200
233400.000,578.400
234000.000,576.700
234600.000,574.900
235200.000,573.200
235800.000,571.400
236400.000,569.600
237000.000,567.800
237600.000,566.100
238200.000,564.300
238800.000,562.500
239400.000,560.700
240000.000,559.000
240600.000,557.200
241200.000,555.400
241800.000,553.600
242400.000,551.900
243000.000,550.100
243600.000,548.300
244200.000,546.500
244800.000,544.800
245400.000,543.000
246000.000,541.200
246600.000,539.400
247200.000,537.700
247800.000,535.900
248400.000,534.100
249000.000,532.300
249600.000,530.600
250200.000,528.800
250800.000,527.100
251400.000,525.300
252000.000,523.600
252600.000,521.800
253200.000,520.000
253800.000,518.300
254400.000,516.500
255000.000,514.800
255600.000,513.000
256200.000,511.300
256800.000,509.500
257400.000,507.800
258000.000,506.100
258600.000,504.300
259200.000,502.600
259800.000,500.900
260400.000,499.100
261000.000,497.400
261600.000,495.700
262200.000,493.900
262800.000,492.200
263400.000,490.500
264000.000,488.800
264600.000,487.000
265200.000,485.300
265800.000,483.600
266400.000,481.900
267000.000,480.100
267600.000,478.400
268200.000,476.700
268800.000,475.000
269400.000,473.200
270000.000,471.500
270600.000,469.400
271200.000,467.200
271800.000,465.100
272400.000,462.900
273000.000,460.800
273600.000,458.700
274200.000,456.500
274800.000,454.400
275400.000,452.200
276000.000,450.100
276600.000,447.900
277200.000,445.800
277800.000,443.700
278400.000,441.600
279000.000,439.500
279600.000,437.400
280200.000,435.300
280800.000,433.200
281400.000,431.000
282000.000,428.900
282600.000,426.800
283200.000,424.700
283800.000,422.600
284400.000,420.500
285000.000,418.600
285600.000,416.500
286200.000,414.400
286800.000,412.300
287400.000,410.200
288000.000,408.100
288600.000,406.000
289200.000,403.900
289800.000,401.800
290400.000,399.700
291000.000,397.600
291600.000,395.500
292200.000,393.500
292800.000,391.500
293400.000,389.400
294000.000,387.400
294600.000,385.400
295200.000,383.400
295800.000,381.300
296400.000,379.300
297000.000,377.300
297600.000,375.300
298200.000,373.200
298800.000,371.200
299400.000,369.200
300000.000,367.300
300600.000,365.300
301200.000,363.400
301800.000,361.400
302400.000,359.500
303000.000,357.500
303600.000,355.500
304200.000,353.600
304800.000,351.600
305400.000,349.700
306000.000,347.700
306600.000,345.800
307200.000,343.900
307800.000,342.100
308400.000,340.200
309000.000,338.300
309600.000,336.400
310200.000,334.500
310800.000,332.600
311400.000,330.800
312000.000,328.900
312600.000,327.000
313200.000,325.100
313800.000,323.300
314400.000,321.500
315000.000,319.700
315600.000,317.900
316200.000,316.100
316800.000,314.300
317400.000,312.400
318000.000,310.600
318600.000,308.800
319200.000,307.000
319800.000,305.200
320400.000,303.400
321000.000,301.700
321600.000,300.000
322200.000,298.300
322800.000,296.500
323400.000,294.800
324000.000,293.100
324600.000,291.400
325200.000,289.700
325800.000,288.000
326400.000,286.200
327000.000,284.500
327600.000,282.800
328200.000,281.200
328800.000,279.500
329400.000,277.900
330000.000,276.300
330600.000,274.600
331200.000,273.000
331800.000,271.400
332400.000,269.700
333000.000,268.100
333600.000,266.500
334200.000,264.800
334800.000,263.200
335400.000,261.700
336000.000,260.100
336600.000,258.600
337200.000,257.000
337800.000,255.500
338400.000,253.900
339000.000,252.400
339600.000,250.800
340200.000,249.300
340800.000,247.700
341400.000,246.200
342000.000,244.600
342600.000,243.100
343200.000,241.700
343800.000,240.200
344400.000,238.700
345000.000,237.300
345600.000,235.800
346200.000,234.300
346800.000,232.900
347400.000,231.400
348000.000,229.900
348600.000,228.500
349200.000,227.000
349800.000,225.600
350400.000,224.300
351000.000,222.900
351600.000,221.500
352200.000,220.100
352800.000,218.800
353400.000,217.400
354000.000,216.000
354600.000,214.600
355200.000,213.300
355800.000,211.900
356400.000,210.500
357000.000,209.200
357600.000,207.800
358200.000,206.500
358800.000,205.200
359400.000,203.800
360000.000,202.500
360600.000,201.200
361200.000,199.800
361800.000,198.500
362400.000,197.200
363000.000,195.800
363600.000,194.500
364200.000,193.300
364800.000,192.200
365400.000,191.000
366000.000,189.800
366600.000,188.700
367200.000,187.500
367800.000,186.300
368400.000,185.200
369000.000,184.000
369600.000,182.800
370200.000,181.700
370800.000,180.500
371400.000,179.400
372000.000,178.200
372600.000,177.100
373200.000,175.900
373800.000,174.800
374400.000,173.700
375000.000,172.500
375600.000,171.400
376200.000,170.200
376800.000,169.100
377400.000,167.900
378000.000,166.800
378600.000,165.700
379200.000,164.700
379800.000,163.600
380400.000,162.600
381000.000,161.500
381600.000,160.500
382200.000,159.400
382800.000,158.300
383400.000,157.300
384000.000,156.200
384600.000,155.200
385200.000,154.100
385800.000,153.100
386400.000,152.100
387000.000,151.100
387600.000,150.100
388200.000,149.100
388800.000,148.200
389400.000,147.200
390000.000,146.200
390600.000,145.200
391200.000,144.200
391800.000,143.200
392400.000,142.200
393000.000,141.300
393600.000,140.400
394200.000,139.400
394800.000,138.500
395400.000,137.600
396000.000,136.700
396600.000,135.700
397200.000,134.800
397800.000,133.900
398400.000,133.000
399000.000,132.000
399600.000,131.100
400200.000,130.300
400800.000,129.400
401400.000,128.600
402000.000,127.700
402600.000,126.900
403200.000,126.000
403800.000,125.200
404400.000,124.300
