Escenario,Q max Entrada (m3/s),Q max Salida (m3/s),Vol Entrada (hm3),Vol Salida (hm3),Error Continuidad (%),Maximo Volumen (hm3),Maxima Cota (m IGN)
Tr=10000,695.3,234.63,126.9702,89.1402,0.0146,77.7236,30.49R=100,432.0,77.06,77.7901,40.042,0.0158,52.5407,29.33
Tr=10000,695.3,234.63,126.9702,89.1402,0.0146,77.7236,30.49
R=100,432.0,76.64,77.7901,40.0243,0.0158,52.55,29.33
Tr=10000,695.3,170.06,126.9702,81.6104,0.0148,84.2773,30.76
R=100,432.0,76.93,77.7901,40.0364,0.0158,52.5437,29.33
Tr=10000,695.3,217.37,126.9702,87.5189,0.0147,79.3959,30.56
R=100,432.0,76.79,77.7901,40.0307,0.0158,52.5467,29.33
Tr=10000,695.3,197.12,126.9702,85.2905,0.0147,81.4276,30.64
R=100,432.0,77.06,77.7901,40.042,0.0158,52.5407,29.33
Tr=10000,695.3,234.63,126.9702,89.1402,0.0146,77.7236,30.49
R=100 Lleno,432.0,213.83,77.7901,84.6988,0.002,74.378,30.35
R=100,432.0,76.64,77.7901,40.0243,0.0158,52.55,29.33
Tr=10000,695.3,170.06,126.9702,81.6104,0.0148,84.2773,30.76
R=100 Lleno,432.0,161.16,77.7901,77.4647,0.0022,80.2137,30.59
R=100,432.0,76.64,77.7901,40.0243,0.0158,52.55,29.33
Tr=10000,695.3,170.06,126.9702,81.6104,0.0148,84.2773,30.76
R=100 Lleno,432.0,161.16,77.7901,77.4647,0.0022,80.2137,30.59
R=100,432.0,76.79,77.7901,40.0307,0.0158,52.5467,29.33
Tr=10000,695.3,197.12,126.9702,85.2905,0.0147,81.4276,30.64
R=100 Lleno,432.0,183.45,77.7901,80.9513,0.0022,77.6885,30.49
R=100,432.0,77.06,77.7901,40.042,0.0158,52.5407,29.33
Tr=10000,695.3,234.63,126.9702,89.1402,0.0146,77.7236,30.49
R=100 Lleno,432.0,213.83,77.7901,84.6988,0.002,74.378,30.35
R=100,432.0,77.06,77.7901,40.042,0.0158,52.5407,29.33
Tr=10000,695.3,234.63,126.9702,89.1402,0.0146,77.7236,30.49
R=100 Lleno,432.0,213.83,77.7901,84.6988,0.002,74.378,30.35
