Escenario,Q max Entrada (m3/s),Q max Salida (m3/s),Vol Entrada (hm3),Vol Salida (hm3),Error Continuidad (%),Maximo Volumen (hm3),Maxima Cota (m IGN)
Tr=10000 (Vaciamiento),695.3,234.63,126.9702,126.9917,0.0169,77.7236,30.49
Tr=10000 (Vaciamiento),695.3,234.63,126.9702,126.9917,0.0169,77.7236,30.49
Tr=10000 (Vaciamiento),695.3,234.63,126.9702,126.9917,0.0169,77.7236,30.49
Tr=10000 (Vaciamiento),695.3,234.63,126.9702,126.9917,0.0169,77.7236,30.49
Tr=10000 (Vaciamiento),695.3,234.63,126.9702,126.9917,0.0169,77.7236,30.49
Tr=10000 (Vaciamiento),695.3,170.06,126.9702,126.9923,0.0175,84.2773,30.76
Tr=10000 (Vaciamiento),695.3,170.06,126.9702,126.9923,0.0175,84.2773,30.76
Tr=10000 (Vaciamiento),695.3,197.12,126.9702,126.9919,0.0171,81.4276,30.64
Tr=10000 (Vaciamiento),695.3,234.63,126.9702,126.9917,0.0169,77.7236,30.49
Tr=10000 (Vaciamiento),695.3,234.63,126.9702,126.9917,0.0169,77.7236,30.49
